date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,14,7,0.0,3.9,3,20,08:46 AM,07:55 PM,06:53 AM,05:03 PM,9,10,11,10,22,51,88,0.0,1025,14,8,132,14,shanghai
2017-01-02,15,9,0.0,5.5,3,27,09:27 AM,08:52 PM,06:53 AM,05:04 PM,10,12,13,12,12,60,85,0.0,1024,15,10,158,8,shanghai
2017-01-03,15,7,0.0,8.7,4,34,10:06 AM,09:51 PM,06:53 AM,05:05 PM,8,11,11,11,12,24,81,0.0,1025,15,8,68,8,shanghai
2017-01-04,14,10,0.0,5.5,3,41,10:44 AM,10:51 PM,06:53 AM,05:06 PM,10,12,13,12,17,58,86,0.0,1022,14,10,102,11,shanghai
2017-01-05,11,11,0.0,3.9,3,49,11:23 AM,11:52 PM,06:53 AM,05:06 PM,10,9,11,9,28,100,92,2.0,1021,11,9,70,19,shanghai
2017-01-06,13,11,0.0,4.0,3,56,12:01 PM,No moonset,06:53 AM,05:07 PM,11,11,12,11,20,100,94,2.2,1021,13,6,58,14,shanghai
2017-01-07,14,8,0.0,4.0,3,63,12:42 PM,12:54 AM,06:53 AM,05:08 PM,11,10,12,10,25,92,93,3.6,1016,14,6,201,17,shanghai
2017-01-08,9,7,0.0,4.0,2,70,01:27 PM,01:59 AM,06:54 AM,05:09 PM,6,4,8,4,30,89,88,0.0,1019,9,10,296,21,shanghai
2017-01-09,9,4,0.0,5.5,2,78,02:15 PM,03:04 AM,06:54 AM,05:10 PM,3,5,7,5,17,34,76,0.0,1024,9,10,250,12,shanghai
2017-01-10,9,4,0.0,7.1,2,85,03:09 PM,04:10 AM,06:54 AM,05:10 PM,4,6,8,6,14,57,76,0.1,1027,9,10,137,11,shanghai
2017-01-11,9,5,0.0,4.0,2,92,04:07 PM,05:15 AM,06:53 AM,05:11 PM,3,5,7,5,13,77,74,0.4,1028,9,9,75,10,shanghai
2017-01-12,8,5,0.0,4.0,2,100,05:09 PM,06:15 AM,06:53 AM,05:12 PM,3,5,7,5,10,83,80,1.1,1023,8,10,275,7,shanghai
2017-01-13,10,3,0.0,8.7,3,100,06:13 PM,07:10 AM,06:53 AM,05:13 PM,4,7,9,7,14,0,72,0.0,1023,10,10,231,12,shanghai
2017-01-14,8,2,0.0,8.7,3,86,07:16 PM,08:00 AM,06:53 AM,05:14 PM,1,4,6,4,16,11,69,0.0,1028,8,10,269,13,shanghai
2017-01-15,7,2,0.0,8.7,2,79,08:17 PM,08:44 AM,06:53 AM,05:15 PM,-0,2,5,2,17,32,72,0.0,1030,7,10,97,12,shanghai
2017-01-16,8,1,0.0,8.7,3,71,09:16 PM,09:24 AM,06:53 AM,05:16 PM,1,4,6,4,13,10,70,0.0,1029,8,10,34,10,shanghai
2017-01-17,10,3,0.0,4.0,2,64,10:12 PM,10:01 AM,06:53 AM,05:17 PM,4,5,7,5,15,77,78,1.1,1029,10,8,84,10,shanghai
